hypothesis_id,origin,question_or_hypothesis,current_status,key_project_evidence,paper_role,public_data_boundary,next_empirical_or_new_data
H_DIRECT_COLD_GENUS,literature-derived,"anthocyanin-like/red flower states are favoured by colder thermal environments across Camellia",falsified_or_not_supported,"coarse genus-wide A/W thermal comparisons and history-controlled tests were null; range-tail estimates were strongly provenance-sensitive",negative_result,"none needed to retain the negative genus-wide conclusion","do not repeat genus-wide annual-climate screens"
H_A_SPECIFIC_PERMISSIVITY,project-generated,"anthocyanin-like A states are globally concentrated in a uniquely permissive nuclear lineage background",falsified_or_weakened,"FastTree/ASTRAL A MPD P=0.1756; wASTRAL A MPD P=0.1686 and MNTD P=0.0537",hypothesis_revision,"not a missing-data problem; stronger nuclear topology also fails the strong form","replace with colour-wide lineage/history constraint"
H_COLOUR_WIDE_HISTORY,project-generated,"visible flower-colour states are constrained by lineage/history across the nuclear backbone",supported,"FastTree/ASTRAL same-state MPD P=0.00399 and nearest-same-state P=0.000620; wASTRAL replication P=0.00346 and 0.000660",core_positive_result,"none for the root-independent conservatism claim","empirical work should ask what lineage-linked ecological/genetic traits create the constraint"
H_WHITE_CROWN,prior-literature-plus-held-out-test,"the Camellia crown ancestor was white-like W",supported_with_uncertainty,"Fitch root=W; model-averaged W is top state in all four Mk treatments; W=0.9698-0.9962 with ASTRAL branch lengths and 0.5538-0.7383 under unit-edge sensitivity",supporting_result_not_novelty_claim,"unit-edge treatment retains meaningful W/Y uncertainty","additional taxon colour data and a stronger rooted94 tree can refine but are not required for the paper's main claim"
H_ROBUST_W_TO_A,project-generated,"some independent macro branches represent robust W-to-A endpoint-state changes after model uncertainty",supported,"three branches B011/B073/B083 pass same-direction-all-four-treatments plus minimum posterior >=0.5; B011 and B073 relationships persist on wASTRAL91",core_event_definition,"B083 cannot be checked on runtime91 because C. japonica was added only in rooted94","matched branch-focused field/molecular sampling should use these events as targets"
H_MICRO_HIERARCHICAL_ACCESSIBILITY,project-generated-from-meta-analysis,"similar pigment states can be reached through hierarchical reuse with paralog substitution rather than universal exact-node reuse",supported_at_micro_scale,"FLS same-paralog CnFLS2-like recurrence; DFR CsDFRa-like vs CsDFRb2 resolved different-paralog implementation; ANS/ANR copy-specific directional heterogeneity",core_mechanistic_result,"macro enrichment is separate and remains underidentified","measure the same paralog-resolved modules across matched macro transition pairs"
H_MACRO_HIERARCHICAL_REUSE,project-generated,"module-level reuse is enriched across independent macro colour transitions more strongly than exact-paralog reuse",public_data_unidentifiable,"only B083 has branch-assignable paralog-resolved public mechanism; B011 extant reticulata evidence cannot identify the basal event; B073 lacks a resolved mechanism cluster; strict FLS micro recurrence lies outside the robust W-to-A set",boundary_result,"fewer than two independent robust W-to-A branches have branch-assignable paralog-resolved mechanisms","paralog-specific FLS/DFR/ANS/ANR expression plus pigment chemistry for B073 pair B083 pair and resolved B011 pair"
H_DIRECT_COLD_BRANCH,project-generated-refinement,"robust W-to-A events consistently occupy colder local sister contexts",public_data_unidentifiable_taxonomic_alias,"B073 BIO1/BIO6=-3.4/-7.2 C; B083=-1.6/-2.0 C; B011 is also colder only under C. albogigas to accepted C. granthamiana occurrence alias; alias vs exact-name q05 differs by 18.215 C",suggestive_boundary_result,"taxon-concept-matched median climate for the exact C. albogigas lineage is absent; accepted-synonym occurrence evidence is unstable","collect locality/environment data tied to the actual nuclear C. albogigas lineage; separately test flowering-window weather"
H_POLLINATION_SERVICE,project-generated-from-literature-and-negative-climate-result,"effective pollination-service reliability/quality filters which accessible floral states persist",public_data_unidentifiable,"0/3 robust W-to-A branches have paired branch-assignable direct service evidence; C. reticulata and C. japonica provide positive within-lineage mechanistic evidence but sisters lack matched comparisons",future_empirical_hypothesis,"published studies do not provide matched descendant-vs-sister service-quality measurements","guild visitation; single-visit pollen deposition; pollen removal; bird/insect exclusion; fruit/seed set; flowering-window weather; nectar; spectra"
H_POLLINATOR_CONFLICT,project-generated-from-literature,"selection can reduce costly/inefficient bee exploitation while preserving effective bird-mediated pollen transfer",public_data_unidentifiable,"C. japonica visual bee-avoidance evidence and C. oleifera theasaponin/bird-function evidence show two mechanistic routes with different visible colours",future_empirical_hypothesis,"no phylogenetically matched branch-level conflict metric across robust transitions","measure pollen economy and visitor efficiency rather than visitation frequency alone"
H_LATENT_SENSORY_STATE,project-generated,"selection acts on multidimensional spectral/chemical/reward states rather than coarse human-visible A/W/Y",public_data_unidentifiable,"visible hue and pollination function are heterogeneous; UV/fluorescence/reward evidence exists only for a small subset",future_empirical_hypothesis,"matched UV/visible/fluorescence/reward data are sparse across transition pairs","standardized reflectance UV fluorescence nectar and pigment chemistry on matched branch pairs"
H_ECOLOGICAL_HYSTERESIS,project-generated-from-mechanistic-synthesis,"retained pigment pathways allow history-dependent reversals/reactivation instead of irreversible pathway loss",mechanistically_plausible_macro_unidentified,"white-containing micro systems generally retain pathway genes and reversible developmental/within-lineage switches occur; robust macro branch event counts do not identify hidden reversals",discussion_hypothesis,"ancestral branch-specific regulatory states are unavailable from public extant data","matched developmental expression chemistry and regulatory assays in transition/sister pairs"
