accepted_species,fan_provisional_state,wild_colour_status,strict_state,dominant_state,evidence_granularity,source_authority,source_url,evidence_note,audit_decision
Camellia azalea,A,stable_A,A,A,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242309885,Petals described as roseate.,retain_strict
Camellia brevistyla,,polymorphic_AW,,,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242309895,Petals white or pink; WFO aggregation also contains legacy A and W labels.,missing_polymorphic
Camellia cordifolia,W,stable_W,W,W,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200014028,Petals white.,retain_strict
Camellia crapnelliana,W,stable_W,W,W,species,Flora of China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=242309926,Petals white.,retain_strict
Camellia crispula,W,insufficient_exact_colour,,,species,International Camellia Register,https://camellia.iflora.cn/Species/Detail?latin=Camellia+crispula,Exact species description available but flower colour not stated; Fan W derives from a legacy taxon after WFO collapse.,missing_insufficient
Camellia cuspidata,W,polymorphic_WA,,,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200014029,Petals white or pale red; some forms have deep pink markings.,missing_polymorphic
Camellia drupifera,W,stable_W_provenance_uncertain,W,W,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242309946,"Petals white; Flora notes uncertainty whether some collections are wild, cultivated, or escaped.",retain_strict_with_provenance_flag
Camellia fluviatilis,W,stable_W,W,W,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242309962,Petals white.,retain_strict
Camellia furfuracea,W,stable_W,W,W,species,Flora of China,https://efloras.org/florataxon.aspx?flora_id=2&taxon_id=242309969,Petals white.,retain_strict
Camellia gaudichaudii,W,insufficient_exact_colour,,,species,International Camellia Register / Flora of Vietnam citation,https://camellia.iflora.cn/Species/Detail?latin=Camellia+gaudichaudii,Current exact-species description retrieved but petal colour is not stated; section membership is not used as a hard substitute.,missing_insufficient
Camellia granthamiana,W,dominant_W_pink_tint,,W,species,International Camellia Register / Hong Kong Herbarium,https://camellia.iflora.cn/Species/Detail?latin=Camellia+granthamiana,Flowers are white; an illustrated species account notes occasional pink tint on petal edge.,dominant_only
Camellia gymnogyna,W,stable_W,W,W,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242309987,Petals white.,retain_strict
Camellia impressinervis,Y,stable_Y,Y,Y,species,International Camellia Register citing original description / Flora of China,https://camellia.iflora.cn/Species/Detail?latin=Camellia+impressinervis,Petals golden-yellow.,retain_strict
Camellia japonica,A,polymorphic_AW,,,species,Flora / wild species description,https://www.efloras.org/florataxon.aspx?flora_id=3&taxon_id=200014034,Wild species described with rose or white petals.,missing_polymorphic
Camellia kissi,W,stable_W,W,W,species,Flora of China (historical spelling C. kissii),https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=250076921,Petals white across the Flora treatment.,retain_strict
Camellia kwangsiensis,W,stable_W,W,W,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242310027,Petals white.,retain_strict
Camellia lawii,W,stable_W,W,W,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242310043,Petals white.,retain_strict
Camellia leptophylla,W,stable_W,W,W,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242310044,Petals white.,retain_strict
Camellia luteoflora,Y,stable_Y,Y,Y,species,International Camellia Register citing species descriptions,https://camellia.iflora.cn/Species/Detail?latin=Camellia+luteoflora,Flowers yellow to golden-yellow.,retain_strict
Camellia oleifera,W,stable_W,W,W,species,Flora of China via World Flora Online,https://www.worldfloraonline.org/taxon/wfo-0000582552,Petals white.,retain_strict
Camellia petelotii,Y,stable_Y,Y,Y,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242310160,Petals golden yellow.,retain_strict
Camellia pingguoensis,Y,stable_Y_ontogenetic_fading,Y,Y,species,Original-description synthesis / International Camellia Register,https://camellia.iflora.cn/Species/Detail?latin=Camellia+pingguoensis,Original description gives golden-yellow flowers; later accounts note pale-yellow flowers may fade toward cream-white.,retain_strict_fresh_anthesis
Camellia polyodonta,A,dominant_A_rare_W,,A,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=3&taxon_id=200014039,Petals rose or rarely white.,dominant_only
Camellia ptilophylla,W,stable_W,W,W,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242310184,Petals white.,retain_strict
Camellia pubifurfuracea,W,stable_W,W,W,species,International Camellia Register citing species atlas,https://camellia.iflora.cn/Species/Detail?latin=Camellia+pubifurfuracea,Flowers white.,retain_strict
Camellia reticulata,A,dominant_A_rare_W,,A,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242310199,Petals rose to pink, rarely almost white.,dominant_only
Camellia rhytidocarpa,W,stable_W,W,W,species,Peer-reviewed 2025 taxonomic revision,https://pmc.ncbi.nlm.nih.gov/articles/PMC12816479/,Wild botanical description: flowers terminal, white.,retain_strict
Camellia saluenensis,A,polymorphic_AW,,,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242310213,Petals rose, pink, or white.,missing_polymorphic
Camellia sasanqua,W,dominant_W_pink_tint,,W,species,FFPRI Japan + species register,https://www.ffpri.go.jp/fsm/business/jumokuen/03_sa/sazanka.html,Wild/original plants bear white to pink-tinged white flowers; cultivated forms span stronger pink/red.,dominant_only
Camellia sinensis,W,stable_W_provenance_uncertain,W,W,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200014043,Petals white; Flora notes wild distribution is obscured by long cultivation.,retain_strict_with_provenance_flag
Camellia subintegra,A,dominant_A_rare_W,,A,species,Flora of China,https://www.iplant.cn/foc/pdf/Camellia.pdf,Petals roseate or rarely white.,dominant_only
Camellia szechuanensis,W,stable_W,W,W,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242310250,Petals white.,retain_strict
Camellia tachangensis,W,stable_W,W,W,species,China national protected wild plant database / species descriptions,https://www.iplant.cn/bhzw/info/1044,Wild morphological description gives white flowers.,retain_strict
Camellia taliensis,W,stable_W,W,W,species,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242310256,Petals white.,retain_strict
Camellia tuberculata,W,dominant_W_senescent_pink,,W,species,International Camellia Register citing species atlas,https://camellia.iflora.cn/Species/Detail?latin=Camellia+tuberculata,Flowers white; fading flowers may develop pink markings, so species is not treated as strict W for pigment-state history.,dominant_only
Camellia yunnanensis,W,stable_W,W,W,species,International Camellia Register / IUCN,https://camellia.iflora.cn/Species/Detail?latin=Camellia+yunnanensis,Petals white.,retain_strict
