prior_id,year,domain,citation,doi_or_url,claim_axis,prior_art_strength,what_is_already_known,what_remains_distinct_in_chun
PA001,2012,general_repeated_evolution,"Conte et al. The probability of genetic parallelism and convergence in natural populations",10.1098/rspb.2012.2146,N1_observation_regime,DIRECT_CONCEPTUAL,"Estimated gene reuse differs by discovery method; candidate-gene estimates were higher than genetic-cross estimates and publication/ascertainment bias was explicitly discussed.","chun does not own the generic claim that method choice changes apparent repeatability; its narrower contribution is same-public-system standardized remeasurement with frozen A/F/C/P cells and quantified identified-set contraction."
PA002,2023,general_repeated_evolution,"Poore et al. Repeated genetic divergence plays a minor role in repeated phenotypic divergence of lake-stream stickleback",10.1093/evolut/qpac025,N1_observation_regime,DIRECT_CONCEPTUAL,"Contrasted candidate-gene expectations with agnostic genome-wide approaches and found limited repeated genetic divergence despite phenotypic parallelism.","Supports framing candidate-free analysis as an empirical control, but means agnostic-vs-candidate contrast is not itself novel."
PA003,2014,convergence_review,"Rosenblum et al. The Molecular Basis of Phenotypic Convergence",10.1146/annurev-ecolsys-120213-091851,N2_hierarchical_recurrence,DIRECT_CONCEPTUAL,"Distinguished phenotypic convergence from molecular parallelism and emphasized hierarchical levels of convergence.","chun must not claim novelty for separating phenotype from molecular mechanism in general."
PA004,2020,evolutionary_theory,"Laruson et al. The Importance of Genetic Redundancy in Evolution",10.1016/j.tree.2020.04.009,N2_hierarchical_recurrence,DIRECT_CONCEPTUAL,"Formalized many-to-one genotype-to-phenotype mappings and repeatability/redundancy concepts.","chun's value is an empirical multiaxis Camellia implementation, not invention of genotypic redundancy."
PA005,2013,flower_colour_review,"Sobel and Streisfeld. Flower color as a model system for studies of plant evo-devo",10.3389/fpls.2013.00321,N2_hierarchical_recurrence,DIRECT_FLOWER_COLOUR,"Reviewed repeated flower-colour transitions as tests of genetic predictability and emphasized repeated transitions at multiple phylogenetic scales.","Broad repeated-flower-colour predictability framing is established."
PA006,2009,flower_colour_genetics,"Streisfeld and Rausher. Genetic changes contributing to the parallel evolution of red floral pigmentation among Ipomoea species",10.1111/j.1469-8137.2009.02929.x,N2_hierarchical_recurrence,DIRECT_FLOWER_COLOUR,"Tested repeated red transitions and found recurrent disruption of flux at the same pathway position while acknowledging multiple possible molecular routes.","Whole-versus-modular mechanistic repeatability has strong precedent within the anthocyanin pathway."
PA007,2009,flower_colour_genetics,"Cooley et al. Genetic divergence causes parallel evolution of flower color in Chilean Mimulus",10.1111/j.1469-8137.2009.02858.x,N2_hierarchical_recurrence,DIRECT_FLOWER_COLOUR,"Three independent anthocyanin gains produced similar red phenotypes through different genetic architectures; modular elements interacted with polygenic traits.","The statement same visible colour can arise by different genetic routes is prior art."
PA008,2016,flower_colour_macroevolution,"Ng and Smith. Widespread flower color convergence in Solanaceae via alternate biochemical pathways",10.1111/nph.13576,N2_hierarchical_recurrence,DIRECT_FLOWER_COLOUR,"Across 1341 Solanaceae species, at least 30 red origins used anthocyanins, carotenoids, or both; pathway use showed phylogenetic signal.","This strongly pre-empts any broad claim that same flower colour need not imply the same pigment pathway. chun's narrower scale is within-Camellia A/F/C/P transcript-state packages plus observation-regime comparison."
PA009,2018,flower_colour_pathway,"Larter et al. Convergent Evolution at the Pathway Level: Predictable Regulatory Changes during Flower Color Transitions",10.1093/molbev/msy117,N2_hierarchical_recurrence,DIRECT_FLOWER_COLOUR,"Measured seven anthocyanin-pathway genes across 28 Iochrominae species and detected convergent late-pathway expression changes across repeated pigment losses.","Pathway-level multivariate convergence is established; chun's novelty cannot be 'first pathway-level test'."
PA010,2023,flower_colour_pathway,"Wheeler et al. Evolutionary walks through flower colour space driven by gene expression in Petunia and allies",10.1098/rspb.2023.0275,N2_hierarchical_recurrence,DIRECT_FLOWER_COLOUR,"Used pathway-wide petal transcriptomes and multivariate pigment profiles; coordinated expression shifts and anthocyanin-flavonol trade-offs shaped accessible colour space.","Pathway-wide multivariate gene-expression analysis is established. Distinctive chun feature is standardized remeasurement of the same public systems against literature-selected observation and exact missing-axis bounds."
