candidate,ancestral_baseline,evolutionary_event_requirement,molecular_flower_contrast,event_identity_status,strict_anchor_status,retained_role,primary_limitation,notes
Camellia,white_like_independent_support,>=3 transition-class systems,YES_PUBLIC_REMEASURED,EVENT_IDENTITY_WEAK_MACRO,PASS_REFERENCE_ANCHOR,FULL_MATCHED_OBSERVATION_ANCHOR,none,"Reference case; science remains Paper 1 v0.2.2 and is not reopened."
Epimedium_sect_Diphyllon,white_plesiomorphic_inner_sepal,>=3 independent pigment-loss/gain events,YES_8_SPECIES,ONLY_2_CONSERVATIVE_LOSS_CLUSTERS,FAIL_HOLD,MECHANISTIC_SUPPORT_WITH_EVENT_IDENTITY_LIMIT,event_independence,"Four A- molecular taxa collapse conservatively to two topology/taxonomy-robust clusters."
Petunia_long_tube_subclade,colorless_white_recent_ancestor,>=3 independent regains,YES_FUNCTIONAL_TWO_EVENTS,TWO_INDEPENDENT_REGAINS,FAIL_EVENT_COUNT,WHITE_BASELINE_REGAIN_MECHANISTIC_BENCHMARK,event_count,"P. secreta AN2 resurrection and P. exserta DPL-centered complex regain; excellent two-event benchmark."
Linoideae,yellow_white_deep_ancestor,>=3 mapped gains with comparable mechanisms,WEAK_UNEVEN,MACRO_DATED_ONLY,FAIL_MOLECULAR_LAYER,ORIGINAL_TERMINAL_TRAIT_REBUILD,molecular_comparability,"Strong 112-species dated macro system; terminal colour matrix is being rebuilt but cross-species floral molecular layer is sparse."
Hydrangea_sect_Cornidia,white_section_ancestor,>=3 mapped colour transitions with comparable mechanisms,NO_SECTION_MATCHED_OMICS,MACRO_TRANSITIONS_STRONG,FAIL_MOLECULAR_LAYER,DIRECTIONAL_TRANSITION_FALSIFICATION,molecular_transferability,"Genus molecular resources are mostly cultivated/non-Cornidia and cannot be transferred to wild section events."
Polygonatum,white_or_pale_ancestral_candidate,>=3 colour events plus floral molecular contrasts,NO_MATCHED_FLORAL_COLOUR_OMICS,ANCESTRAL_RECONSTRUCTION_NEEDS_RECHECK,FAIL_MOLECULAR_LAYER,CURRENT_POLYMORPHISM_MACRO_BRIDGE,tissue_mismatch,"Available multi-omics contrasts use rhizome/root/bud rather than mature coloured floral tissue; public flower RNA-seq lacks colour labels."
Jasminum_indian_clade,white_ancestor_to_yellow,>=3 mapped colour gains with comparable mechanisms,NO_MATCHED_EVOLUTIONARY_COLOUR_OMICS,MACRO_ONLY,FAIL_MOLECULAR_LAYER,LOW_COMPLEXITY_MACRO_REFERENCE,molecular_layer,"Published phylogeny supports yellow from white ancestor, but recovered molecular datasets do not form matched evolutionary colour contrasts."
Linanthus,NOT_FROZEN_AS_WHITE_MODERN_PHYLOGENY,>=3 transitions,GENOME_AND_PHYLOGENY_BUT_NO_COMMON_COLOUR_MECHANISM,MODERN_WORK_SUGGESTS_ANTHOCYANIN_POLYMORPHISM_EARLY,FAIL_WHITE_BASELINE_CRITERION,POLYMORPHISM_PERSISTENCE_CONTROL,ancestral_state_revision,"Older project descriptions suggested a white ancestor; modern complete-species phylogeny instead treats anthocyanin polymorphism as potentially early/ancestral within major clade."
Leptosiphon,OLDER_WHITE_ANCESTOR_PROJECT_CLAIM,>=3 gains,NO_AUDITABLE_COMMON_COLOUR_MOLECULAR_LAYER,WHITE_ROOT_NOT_FROZEN_FROM_CURRENT_PUBLISHED_ANALYSIS,HOLD_NOT_ADMITTED,POLEMONIACEAE_DISCOVERY_LEAD,published_evidence_gap,"Do not admit from project/poster claims without a current auditable ancestral-state and molecular dataset."
Nicotiana,COMPLEX_SECTION_SPECIFIC_WHITE_NODES,>=3 events,STRONG_BUT_POLYPLOID_HYBRID_CONTEXT,NETWORK_DEPENDENT,FAIL_SIMPLE_WHITE_ANCHOR,HYBRIDIZATION_POLYPLOID_CONTROL,ancestral_and_network_complexity,"Useful to test how hybridization/homeologue expression alters colour, not a simple white-root radiation."
Chilean_Mimulus_luteus_group,yellow_ancestor,>=3 independent anthocyanin gains,YES_GENETIC_AND_FUNCTIONAL,THREE_INDEPENDENT_GAINS,PASS_NONWHITE_BENCHMARK,YELLOW_BASELINE_REGULATORY_GAIN_BENCHMARK,not_white_baseline,"Three independent petal-lobe anthocyanin gains; all R2R3-MYB regulatory module, exact genomic region not invariant."
Iochrominae,blue_delphinidin_ancestor,>=3 independent pigment losses,YES_28_SPECIES_PLUS_POLYMORPHIC_MORPHS,FOUR_INDEPENDENT_DELPHINIDIN_LOSSES,PASS_NONWHITE_BENCHMARK,DIRECT_SELECTIVE_FUNNEL_AND_PATHWAY_BENCHMARK,not_white_baseline,"Best direct current-polymorphism vs fixed-species molecular scale benchmark."
