clade_id,clade,role,ancestral_state,ancestral_support,derived_colour_space,transition_signal,within_species_variation,molecular_layer,ecology_layer,phylogeny_auditability,ancestral_score,transition_score,molecular_score,ecology_score,auditability_score,total_score,phase1_status,macro_source_doi,molecular_source_doi,notes
CAMELLIA,Camellia,white_like_anchor,white,MP+ML genus-scale reconstruction; project reconstruction retains W/Y uncertainty,"white; red/pink; yellow",multiple red-white transitions plus yellow early-diverging states,yes,strong multi-system public floral transcriptomics/metabolomics,strong pollinator/reproductive literature,strong public nuclear phylogenomics,2,2,2,2,2,10,PASS_ANCHOR,10.1111/pbi.70442,NA,"Anchor system; do not treat white as molecular zero."
EPIMEDIUM_DIPHYLLON,Epimedium sect. Diphyllon,white_like_candidate,white,white reconstructed as plesiomorphic inner-sepal state,"white; yellow; red; pink; purple",parallel colour evolution in east/west clades,reported natural variation at species/population level,8-species anthocyanidin+gene-expression functional comparison,moderate pollinator context; bumblebee hypothesis,strong phylogenomic/character reconstruction,2,2,2,1,2,9,PASS_TIER_A,10.3389/fpls.2023.1234148,10.3389/fpls.2023.1133616,"Best second mechanistic anchor; molecular paper emphasizes anthocyanin losses rather than all pigment classes."
LINOIDEAE,Linoideae / Linum s.l.,white_like_candidate,yellow-white,Bayesian S-DIVA plus parsimony broadly concordant at deep nodes,"yellow-white; purple; blue; red; pink",purple early; blue/red later; pink most recent,yes but not yet harmonized,uneven; crop/flax colour genetics stronger than wild cross-species floral omics,ecological drivers mostly hypotheses,112-species colour matrix plus dated phylogeny,2,2,1,1,2,8,PASS_MACRO_ONLY,10.3390/plants11121579,NA,"Excellent dated macro anchor; molecular layer is current bottleneck."
HYDRANGEA_CORNIDIA,Hydrangea sect. Cornidia,white_like_candidate,white,white reconstructed as ancestral in section,"white; red; purple",~29.4 simulated changes; repeated white-red-purple transitions,not yet harmonized,molecular colour omics abundant in Hydrangea but mostly cultivated H. macrophylla/arborescens rather than Cornidia,sparse for wild Cornidia colour causation,open phylogeny and character reconstruction,2,2,1,0,2,7,PASS_MACRO_HOLD_MOLECULAR,10.3389/fpls.2021.661522,NA,"Strong transition-rich macro system; genus-level molecular evidence is not automatically transferable to Cornidia."
POLYGONATUM,Polygonatum / sect. Verticillata,white_like_candidate,white,recent character reconstruction supports white ancestor for diversified Verticillata and white P. kingianum phenotype,"white/cream; green/yellow-green; purple; pink; red",colour diversification concentrated in Verticillata; current colour phenotypes within P. kingianum,yes,omics abundant for flavonoid biology but floral-colour matched omics still limited,pollinator mechanism largely unresolved,strong plastome/nuclear phylogenomic backbone but colour reconstruction needs independent recheck,1,2,1,0,2,6,HOLD_RECHECK,10.1186/s12870-025-07147-9,NA,"Promising temporal-to-current-polymorphism bridge; ancestral-colour inference presently depends heavily on recent colour-focused study."
ANGRAECINAE,Angraecinae / Angraecum,white_like_control,white,white flowers reconstructed as symplesiomorphic,"white; green",green evolved repeatedly; low colour-dimensionality,limited,weak colour-specific molecular layer,strong pollination/ecological literature generally; not yet tied to colour-state causation,open matrices/tree available,2,1,0,2,2,7,PASS_LOW_COMPLEXITY_CONTROL,10.1371/journal.pone.0163194,NA,"Useful binary/low-complexity control rather than rainbow-radiation anchor."
NICOTIANA,Nicotiana,complex_node_candidate,section-specific white nodes,white supported at some ancestral nodes; genus-wide root not frozen as white,"white; UV-white; green; yellow; red/pink and spectral classes",multiple independent colour states with strong hybridization/polyploid effects,yes,strong genetics/spectra and multiple colour studies,strong pollinator biology,strong but reticulate/hybrid history requires network-aware treatment,1,2,2,2,2,9,PASS_COMPLEX_CONTROL,10.1093/aob/mcv048,10.1093/aob/mcv048,"Do not classify as a simple white-ancestor radiation; valuable hybridization control."
IOCHROMINAE,Iochrominae,coloured_ancestor_control,blue/delphinidin,ancestral delphinidin pigmentation reconstructed,"blue; purple; red; white; yellow",four independent losses plus hue transitions,limited,strong 28-species pigment+7-gene expression comparative dataset,strong pollination comparative literature,strong phylogenetic framework,0,2,2,2,2,8,PASS_COLOURED_CONTROL,NA,10.1093/molbev/msy117,"Positive control for pathway-level regulatory convergence; deliberately not white-ancestor selected."
ANTIRRHINEAE,Antirrhineae,transition_polymorphism_control,not selected by white-root criterion,ancestral root state not used for admission,"anthocyanin; yellow; white; combinations",369-species survey; 169-taxon phylogeny; repeated gains; white intermediate important,yes; white/anthocyanin most frequent extant polymorphism,strong genetic architecture in Antirrhinum; cross-tribe floral omics admission still pending,strong pollinator-selection work in hybrid zones,open colour matrix and NEXUS data,0,2,2,2,2,8,PASS_TEMPORAL_SPATIAL_CONTROL,10.1093/aob/mcw043,NA,"Best bridge between extant polymorphism and long-term transition corridors; Issue #150 screens molecular breadth."
IRIS,Iris,coloured_ancestor_control,purple/anthocyanin,ancestral-state reconstruction supports pigmented/purple-dominated root in broad genus analysis,"purple; blue; yellow; white; pink; red; bicolour",highly labile with extensive intraspecific variation,yes,moderate distributed molecular resources but no single harmonized multi-species state-space yet,strong pollination/mating-system literature,broad trait database and phylogeny,0,2,1,2,2,7,PASS_COLOURED_CONTROL,10.3389/fpls.2020.569811,NA,"Excellent variation/polymorphism control; weaker common molecular measurement layer than Iochrominae."
MIMULUS_ERYTHRANTHE,Mimulus / Erythranthe,incipient_transition_control,coloured/red context,not a white-ancestor admission system,"red; yellow; pink and related states",independent within-species or sister-lineage colour shifts available,yes,strong recent pigment+genomic/transcriptomic comparisons,strong pollinator-behaviour experiments,strong modern phylogenomics,0,2,2,2,2,8,PASS_INCIPIENT_CONTROL,10.1038/s41467-025-57639-3,10.1038/s41467-025-57639-3,"Best fallback for observing transition-in-progress and testing event-identity sensitivity."
