resolution,feature,module,n_independent_micro_clusters,n_scale_classes,n_public_raw_clusters,n_functional_validation_clusters,evidence_tier,independence_clusters,scale_classes,direction_labels,orthology_statuses,primary_macro_predictor,claim_boundary
module,anthocyanin_downstream,anthocyanin_downstream,4,4,3,1,A_recurrent_functionally_anchored,CJAPONICA;CRETICULATA;CSASANQUA;CSIN_WHITE_PINK,cultivar_budsport_sector;cultivar_gradient;cultivar_sector_development;genotype_developmental,colour_linked;more_red,module_level,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
module,carotenoid,carotenoid,2,2,1,0,B_repeated,CHUANA;CNITIDISSIMA,colour_variant_developmental;developmental,red_vs_golden;yellow_development,module_level_node_map_pending,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
module,flavonol,flavonol,3,2,3,1,A_recurrent_functionally_anchored,CNITIDISSIMA;CPERPETUA;CSIN_WHITE_PINK,developmental;genotype_developmental,mixed_stage_paralog;yellow_development,module_level,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
module,proanthocyanidin,proanthocyanidin,2,2,2,0,B_repeated,CRETICULATA;CSIN_WHITE_PINK,genotype_developmental;sector_development,less_red_relative;mixed_relative_to_anthocyanin,module_level,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
module,regulatory,regulatory,3,3,2,2,A_recurrent_functionally_anchored,CJAPONICA;CRETICULATA;CSASANQUA,cultivar_budsport_sector;cultivar_gradient;cultivar_sector_development,colour_linked,mixed_family_and_named_regulator;module_level,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
node,ANR,proanthocyanidin,2,2,2,0,B_repeated,CRETICULATA;CSIN_WHITE_PINK,genotype_developmental;within_genotype_sector,less_red;more_red_partial,family_name_explicit_paralog_map_pending,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
node,ANS,anthocyanin_downstream,3,3,1,1,A_recurrent_functionally_anchored,CRETICULATA;CSASANQUA;CSIN_WHITE_PINK,cultivar_gradient;genotype_developmental;within_genotype_developmental,colour_linked;more_red,family_name_explicit_paralog_map_pending;named_gene_functional_cross_species_validation,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
node,CHS,flavonoid_core,1,1,1,0,C_single,CRETICULATA,within_genotype_sector,more_red,family_name_explicit_paralog_map_pending,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
node,DFR,anthocyanin_downstream,2,2,1,1,B_repeated_functionally_anchored,CJAPONICA;CSIN_WHITE_PINK,genotype_developmental;within_genotype_developmental,activation;more_red,family_name_explicit_paralog_map_pending;functional_gene_identity_explicit,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
node,F3H,anthocyanin_upstream,1,1,0,0,C_single,CSASANQUA,cultivar_gradient,colour_linked,family_name_explicit_paralog_map_pending,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
node,F3H_prime,anthocyanin_upstream,1,1,0,0,C_single,CSASANQUA,cultivar_gradient,colour_linked,family_name_explicit_paralog_map_pending,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
node,FLS,flavonol,3,2,3,1,A_recurrent_functionally_anchored,CNITIDISSIMA;CPERPETUA;CSIN_WHITE_PINK,developmental;genotype_developmental,mixed_stage_paralog;yellow_development,family_name_explicit_paralog_map_pending;named_paralog_available_for_CnFLS2;paralog_identity_required,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
node,LAR,proanthocyanidin,1,1,1,0,C_single,CSIN_WHITE_PINK,genotype_developmental,more_red,family_name_explicit_paralog_map_pending,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
node,MYB114,regulatory,1,1,0,1,C_single_functional,CJAPONICA,within_genotype_developmental,activation,named_regulator_explicit,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
node,MYB_family,regulatory,1,1,1,0,C_single,CRETICULATA,within_genotype_sector,colour_linked,family_level_only,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
node,UFGT,anthocyanin_downstream,1,1,1,0,C_single,CRETICULATA,cultivar_gradient,more_red,family_with_multiple_loci,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
node,bHLH1,regulatory,1,1,0,1,C_single_functional,CJAPONICA,within_genotype_developmental,activation,named_regulator_explicit,n_independent_micro_clusters,evidence recurrence/ranking only; unknown assay opportunity denominator prevents interpretation as a natural transition probability
